,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,yliopisto,tilastovuosi,JUFO-taso,lkm
172,172,172,172,146,Jyväskylän yliopisto,2016,3,164
173,173,173,173,147,Lapin yliopisto,2016,3,22
174,174,174,174,148,Lappeenrannan-Lahden teknillinen yliopisto,2016,3,41
175,175,175,175,149,Oulun yliopisto,2016,3,225
176,176,176,176,150,Svenska handelshögskolan,2016,3,21
177,177,177,177,151,Taideyliopisto,2016,3,7
178,178,178,178,152,Tampereen yliopisto,2016,3,264
179,179,179,179,153,Turun yliopisto,2016,3,315
180,180,180,180,154,Vaasan yliopisto,2016,3,19
181,181,181,181,155,Åbo Akademi,2016,3,68
182,182,182,182,91,Aalto-yliopisto,2017,3,303
183,183,183,183,92,Helsingin yliopisto,2017,3,906
184,184,184,184,93,Itä-Suomen yliopisto,2017,3,225
185,185,185,185,94,Jyväskylän yliopisto,2017,3,222
186,186,186,186,95,Lapin yliopisto,2017,3,12
187,187,187,187,96,Lappeenrannan-Lahden teknillinen yliopisto,2017,3,55
188,188,188,188,97,Oulun yliopisto,2017,3,223
189,189,189,189,98,Svenska handelshögskolan,2017,3,26
190,190,190,190,99,Taideyliopisto,2017,3,9
191,191,191,191,100,Tampereen yliopisto,2017,3,309
192,192,192,192,101,Turun yliopisto,2017,3,337
193,193,193,193,102,Vaasan yliopisto,2017,3,41
194,194,194,194,103,Åbo Akademi,2017,3,101
195,195,195,195,39,Aalto-yliopisto,2018,3,352
196,196,196,196,40,Helsingin yliopisto,2018,3,939
197,197,197,197,41,Itä-Suomen yliopisto,2018,3,218
198,198,198,198,42,Jyväskylän yliopisto,2018,3,215
199,199,199,199,43,Lapin yliopisto,2018,3,42
200,200,200,200,44,Lappeenrannan-Lahden teknillinen yliopisto,2018,3,90
201,201,201,201,45,Oulun yliopisto,2018,3,231
202,202,202,202,46,Svenska handelshögskolan,2018,3,28
203,203,203,203,47,Taideyliopisto,2018,3,16
204,204,204,204,48,Tampereen yliopisto,2018,3,343
205,205,205,205,49,Turun yliopisto,2018,3,387
206,206,206,206,50,Vaasan yliopisto,2018,3,34
207,207,207,207,51,Åbo Akademi,2018,3,81
